         4554614 function calls (4553858 primitive calls) in 15.035 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:190(cb)
        2    0.000    0.000    0.000    0.000 random.py:93(seed)
        4    0.000    0.000    0.000    0.000 subprocess.py:1605(_try_wait)
        8    0.000    0.000    0.000    0.000 posixpath.py:145(dirname)
        3    0.000    0.000    0.001    0.000 enum.py:532(_convert)
       73    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.003    0.003 noise.py:10(<module>)
       37    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 dijkstra.py:2(<module>)
       35    0.000    0.000    0.000    0.000 sre_parse.py:90(closegroup)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 subprocess.py:830(Popen)
        3    0.000    0.000    0.000    0.000 sre_compile.py:374(_mk_bitmap)
        4    0.000    0.000    0.000    0.000 {built-in method posix.readlink}
        5    0.000    0.000    0.000    0.000 enum.py:406(_find_new_)
        7    0.000    0.000    0.000    0.000 __init__.py:209(__init__)
        1    0.000    0.000    0.000    0.000 map.py:4(<module>)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x7fd95b2811e0}
       12    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 threading.py:736(Thread)
       12    0.000    0.000    0.000    0.000 sre_parse.py:70(__init__)
        9    0.000    0.000    0.000    0.000 os.py:720(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:829(_newConsole)
        1    0.000    0.000    0.000    0.000 functions.py:82(filled_circle)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        4    0.000    0.000    0.000    0.000 subprocess.py:1555(_handle_exitstatus)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        7    0.000    0.000    0.000    0.000 posixpath.py:61(isabs)
        1    0.000    0.000    0.000    0.000 {built-in method tcod._libtcod_cp35_x64.TCOD_console_set_custom_font}
        1    0.000    0.000    0.000    0.000 bsp.py:2(<module>)
        1    0.000    0.000    0.000    0.000 main.py:124(__init__)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1301(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 platform.py:1176(_sys_version)
        1    0.000    0.000    0.004    0.004 linecache.py:6(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:193(_BaseConsole)
        1    0.000    0.000    0.000    0.000 <string>:5(SelectorKey)
       69    0.000    0.000    0.000    0.000 sre_parse.py:161(__setitem__)
        6    0.000    0.000    0.000    0.000 posixpath.py:355(abspath)
        2    0.000    0.000    0.006    0.003 libtcod.py:10(_get_lib_path_crossplatform)
        8    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        5    0.000    0.000    0.002    0.000 __init__.py:813(__init__)
       19    0.000    0.000    0.000    0.000 tokenize.py:111(group)
        1    0.000    0.000    0.000    0.000 sys_.py:2(<module>)
        1    0.000    0.000    0.000    0.000 main.py:571(generate_hill)
        1    0.000    0.000    0.000    0.000 enum.py:453(Enum)
        1    0.000    0.000    0.000    0.000 random.py:68(Random)
        1    0.000    0.000    0.000    0.000 enum.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:213(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:755(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:50(Color)
        1    0.000    0.000    0.000    0.000 heightmap.py:2(<module>)
       12    0.000    0.000    0.000    0.000 sre_parse.py:797(fix_flags)
        1    0.000    0.000    0.000    0.000 threading.py:1188(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:69(search_function)
        4    0.000    0.000    0.000    0.000 warnings.py:62(simplefilter)
        3    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
        1    0.000    0.000    0.000    0.000 map.py:2(<module>)
        1    0.000    0.000    0.000    0.000 color.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:249(Bsp)
        2    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 <string>:5(uname_result)
        1    0.000    0.000    0.000    0.000 mouse.py:2(<module>)
        5    0.000    0.000    0.000    0.000 enum.py:361(_get_mixins_)
        1    0.000    0.000    0.000    0.000 random.py:342(uniform)
        4    0.000    0.000    0.000    0.000 warnings.py:78(_add_filter)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:892(__init__)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:427(has_location)
       24    0.000    0.000    0.000    0.000 sre_compile.py:513(isstring)
        5    0.000    0.000    0.000    0.000 enum.py:47(__init__)
        4    0.000    0.000    0.000    0.000 warnings.py:350(__init__)
        1    0.000    0.000    0.000    0.000 noise.py:2(<module>)
        1    0.000    0.000    0.000    0.000 map.py:27(Map)
        1    0.000    0.000    0.000    0.000 __init__.py:164(_getImageSize)
        2    0.000    0.000    0.000    0.000 main.py:86(__init__)
        1    0.000    0.000    0.000    0.000 path.py:2(<module>)
        1    0.000    0.000    0.000    0.000 os.py:728(__setitem__)
